ID,p_delay
73,0.0536357183
74,0.0577918195
75,0.0483767566
76,0.0476292602
77,0.065439111
78,0.0530975037
79,0.0564322281
80,0.0501581777
81,0.0553123536
82,0.0553123536
83,0.0573131212
84,0.0577918195
85,0.0520332484
86,0.0562045804
87,0.065439111
88,0.0605565666
89,0.0527542834
90,0.0564322281
91,0.0536357183
92,0.0577918195
93,0.0483767566
94,0.0476292602
95,0.065439111
96,0.0530975037
97,0.0564322281
98,0.0501581777
171,0.0424244792
172,0.0469778252
173,0.0392169188
174,0.0420929781
175,0.044191197
176,0.041486398
177,0.0454218939
178,0.0519111194
179,0.0553123536
180,0.0553123536
181,0.0456149556
182,0.0469778252
183,0.0425905919
184,0.0443534368
185,0.044191197
186,0.0426017973
187,0.0418113764
188,0.0454218939
189,0.0424244792
190,0.0469778252
191,0.0392169188
192,0.0420929781
193,0.044191197
194,0.041486398
195,0.0454218939
196,0.0519111194
270,0.0482755633
271,0.0492332648
272,0.0521238073
273,0.0486809372
274,0.0557779914
275,0.0528942138
276,0.0431184707
277,0.04396178
278,0.0553123536
279,0.0553123536
280,0.0462935315
281,0.0492332648
282,0.0531978822
283,0.0471509374
284,0.0557779914
285,0.0595452299
286,0.0514879536
287,0.0431184707
288,0.0482755633
289,0.0492332648
290,0.0521238073
291,0.0486809372
292,0.0557779914
293,0.0595452299
294,0.0528942138
295,0.0431184707
296,0.04396178
371,0.0581673442
372,0.0536810662
373,0.0579198705
374,0.0450545525
375,0.0400689944
376,0.0629579662
377,0.0501045318
378,0.0426211659
379,0.0553123536
380,0.0553123536
381,0.0572768178
382,0.0536810662
383,0.0556063398
384,0.0450545525
385,0.0400689944
386,0.0400689944
387,0.0477086333
388,0.0501045318
389,0.0506046406
390,0.0581673442
391,0.0536810662
392,0.0579198705
393,0.0517634743
394,0.0450545525
395,0.0400689944
396,0.0496150653
397,0.0629579662
398,0.0501045318
399,0.0506046406
400,0.0426211659
474,0.041598301
475,0.051033775
476,0.0399355793
477,0.0431810002
478,0.0445124764
479,0.0498243989
