Vessel.Name,Scheduled.Departure,Status,Trip,Trip.Duration,Day,Month,Day.of.Month,Year,Full.Date,Delay.Indicator
Spirit of British Columbia,7:00 AM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,9:00 AM,Stalled vehicle on car deck,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,1
Spirit of British Columbia,11:00 AM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,1:00 PM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,3:00 PM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,5:00 PM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Spirit of British Columbia,7:00 PM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Coastal Celebration,9:00 PM,On Time,Tsawwassen to Swartz Bay,95,Saturday,November,26,2016,26-Nov-16,0
Queen of Nanaimo,8:35 AM,On Time,Tsawwassen to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of Nanaimo,12:15 PM,On Time,Tsawwassen to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of Nanaimo,8:45 PM,On Time,Tsawwassen to Southern Gulf Islands,NA,Saturday,November,26,2016,26-Nov-16,0
Queen of New Westminster,5:15 AM,On Time,Tsawwassen to Duke Point,120,Saturday,November,26,2016,26-Nov-16,0
Coastal Inspiration,7:45 AM,On Time,Tsawwassen to Duke Point,120,Saturday,November,26,2016,26-Nov-16,0
Queen of New Westminster,10:15 AM,On Time,Tsawwassen to Duke Point,120,Saturday,November,26,2016,26-Nov-16,0
Coastal Inspiration,12:45 PM,On Time,Tsawwassen to Duke Point,120,Saturday,November,26,2016,26-Nov-16,0
Queen of New Westminster,3:15 PM,On Time,Tsawwassen to Duke Point,120,Saturday,November,26,2016,26-Nov-16,0
Coastal Inspiration,5:45 PM,On Time,Tsawwassen to Duke Point,120,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,7:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,9:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,11:00 AM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,1:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
Skeena Queen,3:00 PM,On Time,Swartz Bay to Fulford Harbour (Saltspring Is.),35,Saturday,November,26,2016,26-Nov-16,0
