vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point,avg_relative_humidity_in_percent,delay_indicator
Queen of Coquitlam,2016/11/27,6:30:00,5.3,4.05,91.5,0
Queen of Surrey,2016/11/27,6:20:00,5.3,4.05,91.5,0
Spirit of British Columbia,2016/11/27,7:00:00,6.05,4.5,90,0
Queen of Surrey,2016/11/27,8:20:00,6.45,4.95,90,0
Queen of Oak Bay,2016/11/27,8:30:00,6.45,4.95,90,0
Coastal Celebration,2016/11/27,9:00:00,6.7,5.1,89.5,0
Coastal Inspiration,2016/11/27,10:15:00,6.7,4.9,89,0
Queen of New Westminster,2016/11/27,10:15:00,6.7,4.9,89,0
Queen of Surrey,2016/11/27,10:20:00,6.7,4.9,89,0
Queen of Coquitlam,2016/11/27,10:30:00,6.7,4.9,89,0
Queen of imo,2016/11/27,11:10:00,6.7,5.4,92,0
Spirit of British Columbia,2016/11/27,11:00:00,6.7,5.4,92,0
Coastal Inspiration,2016/11/27,12:45:00,6.55,5.75,94.5,1
Queen of New Westminster,2016/11/27,12:45:00,6.55,5.75,94.5,0
Queen of Oak Bay,2016/11/27,12:30:00,6.55,5.75,94.5,1
Queen of Surrey,2016/11/27,12:20:00,6.55,5.75,94.5,0
Coastal Celebration,2016/11/27,13:00:00,6.75,6.05,95.5,0
Spirit of Vancouver Island,2016/11/27,14:00:00,7.05,6.25,95,0
Queen of Surrey,2016/11/27,14:30:00,7.05,6.25,95,0
Spirit of British Columbia,2016/11/27,15:00:00,7,6.2,94.5,1
Coastal Inspiration,2016/11/27,15:15:00,7,6.2,94.5,1
Queen of New Westminster,2016/11/27,15:15:00,7,6.2,94.5,0
Queen of Coquitlam,2016/11/27,15:00:00,7,6.2,94.5,0
Queen of Surrey,2016/11/27,16:30:00,7,6.3,95,1
Coastal Inspiration,2016/11/27,17:45:00,6.95,6,93.5,1
Queen of New Westminster,2016/11/27,17:45:00,6.95,6,93.5,0
Queen of Oak Bay,2016/11/27,17:00:00,6.95,6,93.5,1
Coastal Celebration,2016/11/27,17:00:00,6.95,6,93.5,0
Spirit of Vancouver Island,2016/11/27,18:00:00,6.55,5.4,92.5,0
Queen of imo,2016/11/27,18:40:00,6.55,5.4,92.5,0
Queen of Surrey,2016/11/27,18:30:00,6.55,5.4,92.5,1
Queen of Coquitlam,2016/11/27,19:00:00,5.8,4.65,92.5,0
Spirit of British Columbia,2016/11/27,19:00:00,5.8,4.65,92.5,1
Coastal Inspiration,2016/11/27,20:15:00,5.2,3.9,91.5,1
Queen of Surrey,2016/11/27,20:20:00,5.2,3.9,91.5,1
Queen of New Westminster,2016/11/27,20:15:00,5.2,3.9,91.5,0
Coastal Celebration,2016/11/27,21:00:00,5.1,4,92.5,0
Queen of Oak Bay,2016/11/27,21:00:00,5.1,4,92.5,1
Queen of imo,2016/11/27,21:35:00,5.1,4,92.5,0
Queen of New Westminster,2016/11/27,22:45:00,5.25,4.3,93.5,0
Coastal Inspiration,2016/11/27,22:45:00,5.25,4.3,93.5,1
Queen of New Westminster,2016/11/28,5:15:00,4.9,3.95,94,0
Coastal Inspiration,2016/11/28,5:15:00,4.9,3.95,94,0
Queen of Surrey,2016/11/28,6:20:00,4.9,3.9,93.5,0
Queen of Coquitlam,2016/11/28,6:30:00,4.9,3.9,93.5,0
Spirit of British Columbia,2016/11/28,7:00:00,5.2,4.2,93.5,0
Queen of New Westminster,2016/11/28,7:45:00,5.2,4.2,93.5,0
Coastal Inspiration,2016/11/28,7:45:00,5.2,4.2,93.5,0
Queen of Oak Bay,2016/11/28,8:30:00,5.7,4.35,91,0
Queen of Surrey,2016/11/28,8:20:00,5.7,4.35,91,1
Coastal Celebration,2016/11/28,9:00:00,6.8,5,88,0
Coastal Inspiration,2016/11/28,10:15:00,7.35,5.2,86,0
Queen of New Westminster,2016/11/28,10:15:00,7.35,5.2,86,0
Queen of Surrey,2016/11/28,10:20:00,7.35,5.2,86,0
Queen of imo,2016/11/28,10:10:00,7.35,5.2,86,0
Queen of Coquitlam,2016/11/28,10:30:00,7.35,5.2,86,0
Spirit of British Columbia,2016/11/28,11:00:00,7.3,4.85,84.5,0
Queen of Oak Bay,2016/11/28,12:30:00,7.55,4.75,83,1
Queen of Surrey,2016/11/28,12:20:00,7.55,4.75,83,0
Coastal Inspiration,2016/11/28,12:45:00,7.55,4.75,83,0
Queen of New Westminster,2016/11/28,12:45:00,7.55,4.75,83,0
Coastal Celebration,2016/11/28,13:00:00,7.55,4.65,82.5,0
Queen of Surrey,2016/11/28,14:30:00,7.55,4.7,82.5,0
Spirit of British Columbia,2016/11/28,15:00:00,7.4,4.55,82,0
Coastal Inspiration,2016/11/28,15:15:00,7.4,4.55,82,0
Queen of New Westminster,2016/11/28,15:15:00,7.4,4.55,82,0
Queen of Coquitlam,2016/11/28,15:00:00,7.4,4.55,82,0
Queen of Surrey,2016/11/28,16:30:00,7.15,4.6,84,0
Queen of New Westminster,2016/11/28,17:45:00,7.1,4.9,86.5,0
Coastal Celebration,2016/11/28,17:00:00,7.1,4.9,86.5,0
Coastal Inspiration,2016/11/28,17:45:00,7.1,4.9,86.5,0
Queen of Oak Bay,2016/11/28,17:00:00,7.1,4.9,86.5,0
Queen of Surrey,2016/11/28,18:30:00,7.05,5,87,0
Queen of imo,2016/11/28,19:20:00,6.9,5.2,89,0
Spirit of British Columbia,2016/11/28,19:00:00,6.9,5.2,89,0
Queen of Surrey,2016/11/28,20:20:00,6.8,4.9,88,0
Coastal Inspiration,2016/11/28,20:15:00,6.8,4.9,88,0
Queen of New Westminster,2016/11/28,20:15:00,6.8,4.9,88,1
Queen of Oak Bay,2016/11/28,21:00:00,6.65,4.4,86,0
Coastal Celebration,2016/11/28,21:00:00,6.65,4.4,86,0
Coastal Inspiration,2016/11/28,22:45:00,6.6,4.65,87.5,0
Queen of New Westminster,2016/11/28,22:45:00,6.6,4.65,87.5,1
Coastal Inspiration,2016/11/29,5:15:00,6.3,4.3,87,0
Queen of New Westminster,2016/11/29,5:15:00,6.3,4.3,87,0
Queen of Coquitlam,2016/11/29,6:30:00,6.45,4.4,87,0
Queen of Surrey,2016/11/29,6:20:00,6.45,4.4,87,0
Queen of New Westminster,2016/11/29,7:45:00,6.8,4.85,87.5,0
Spirit of British Columbia,2016/11/29,7:00:00,6.8,4.85,87.5,0
Coastal Inspiration,2016/11/29,7:45:00,6.8,4.85,87.5,0
Queen of Oak Bay,2016/11/29,8:30:00,6.85,4.85,87,0
Queen of Surrey,2016/11/29,8:20:00,6.85,4.85,87,0
Coastal Celebration,2016/11/29,9:00:00,7.05,5,87,0
Queen of Coquitlam,2016/11/29,10:30:00,7.1,5.15,87.5,0
Queen of Surrey,2016/11/29,10:20:00,7.1,5.15,87.5,0
Queen of imo,2016/11/29,10:10:00,7.1,5.15,87.5,0
Queen of New Westminster,2016/11/29,10:15:00,7.1,5.15,87.5,0
Coastal Inspiration,2016/11/29,10:15:00,7.1,5.15,87.5,0
Spirit of British Columbia,2016/11/29,11:00:00,7.1,5.45,89,0
Queen of Oak Bay,2016/11/29,12:30:00,7.2,5.8,91,0
Queen of Surrey,2016/11/29,12:20:00,7.2,5.8,91,0
Coastal Inspiration,2016/11/29,12:45:00,7.2,5.8,91,0
