Date.Time,Year,Month,Day,Time,Temperature.in.Celsius,Dew.Point.Temperature.in.Celsius,Relative Humidity.in.Percent,Humidex.in.Celsius,Hour
2016/11/26 23:00,2016,11,26,23:00,6.1,4.1,87,NA,23
2016/11/27 0:00,2016,11,27,0:00,5.9,4.1,89,NA,0
2016/11/27 1:00,2016,11,27,1:00,5.9,4.3,89,NA,1
2016/11/27 2:00,2016,11,27,2:00,5.5,4.3,92,NA,2
2016/11/27 3:00,2016,11,27,3:00,6.1,4,87,NA,3
2016/11/27 4:00,2016,11,27,4:00,5.6,3.7,88,NA,4
2016/11/27 5:00,2016,11,27,5:00,5.2,3,86,NA,5
2016/11/27 6:00,2016,11,27,6:00,4.7,3.6,92,NA,6
2016/11/27 7:00,2016,11,27,7:00,5.9,4.5,91,NA,7
2016/11/27 8:00,2016,11,27,8:00,6.2,4.5,89,NA,8
2016/11/27 9:00,2016,11,27,9:00,6.7,5.4,91,NA,9
2016/11/27 10:00,2016,11,27,10:00,6.7,4.8,88,NA,10
2016/11/27 11:00,2016,11,27,11:00,6.7,5,90,NA,11
2016/11/27 12:00,2016,11,27,12:00,6.7,5.8,94,NA,12
2016/11/27 13:00,2016,11,27,13:00,6.4,5.7,95,NA,13
2016/11/27 14:00,2016,11,27,14:00,7.1,6.4,96,NA,14
2016/11/27 15:00,2016,11,27,15:00,7,6.1,94,NA,15
2016/11/27 16:00,2016,11,27,16:00,7,6.3,95,NA,16
2016/11/27 17:00,2016,11,27,17:00,7,6.3,95,NA,17
2016/11/27 18:00,2016,11,27,18:00,6.9,5.7,92,NA,18
2016/11/27 19:00,2016,11,27,19:00,6.2,5.1,93,NA,19
2016/11/27 20:00,2016,11,27,20:00,5.4,4.2,92,NA,20
2016/11/27 21:00,2016,11,27,21:00,5,3.6,91,NA,21
2016/11/27 22:00,2016,11,27,22:00,5.2,4.4,94,NA,22
2016/11/27 23:00,2016,11,27,23:00,5.3,4.2,93,NA,23
