"Date.Time","Year","Month","Day","Time","Temperature.in.Celsius","Dew.Point.Temperature.in.Celsius","Relative.Humidity.in.Percent","Wind.Direction.in.Degrees","Wind.Speed.km.per.h","Visibility.in.km","Station.Pressure.in.kPa","Weather","Hour"
"2016-08-01 00:00:00",2016,8,1,"00:00",NA,NA,NA,NA,NA,NA,NA,"",0
"2016-08-01 01:00:00",2016,8,1,"01:00",NA,NA,NA,NA,NA,NA,NA,"",1
"2016-08-01 02:00:00",2016,8,1,"02:00",NA,NA,NA,NA,NA,NA,NA,"",2
"2016-08-01 03:00:00",2016,8,1,"03:00",NA,NA,NA,NA,NA,NA,NA,"",3
"2016-08-01 04:00:00",2016,8,1,"04:00",NA,NA,NA,NA,NA,NA,NA,"",4
"2016-08-01 05:00:00",2016,8,1,"05:00",12.5,11.1,91,360,1,24.1,101.81,"",5
"2016-08-01 06:00:00",2016,8,1,"06:00",13,11.4,90,230,3,24.1,101.86,"",6
"2016-08-01 07:00:00",2016,8,1,"07:00",13.6,11.3,86,230,5,24.1,101.88,"Clear",7
"2016-08-01 08:00:00",2016,8,1,"08:00",13.8,11.4,85,230,5,24.1,101.88,"",8
"2016-08-01 09:00:00",2016,8,1,"09:00",15.2,11.6,79,190,11,24.1,101.88,"",9
"2016-08-01 10:00:00",2016,8,1,"10:00",15.2,12,81,180,7,24.1,101.87,"Mainly Clear",10
"2016-08-01 11:00:00",2016,8,1,"11:00",13.9,11.5,85,220,12,24.1,101.86,"",11
"2016-08-01 12:00:00",2016,8,1,"12:00",16.5,11.7,73,230,10,24.1,101.82,"",12
"2016-08-01 13:00:00",2016,8,1,"13:00",16.6,11.8,73,210,13,24.1,101.79,"Mainly Clear",13
"2016-08-01 14:00:00",2016,8,1,"14:00",18.7,11.8,64,210,22,24.1,101.74,"",14
"2016-08-01 15:00:00",2016,8,1,"15:00",15.2,11.6,79,230,20,24.1,101.69,"",15
"2016-08-01 16:00:00",2016,8,1,"16:00",18.9,12,64,240,23,24.1,101.65,"Mainly Clear",16
"2016-08-01 17:00:00",2016,8,1,"17:00",17.9,10.6,62,240,24,24.1,101.61,"",17
"2016-08-01 18:00:00",2016,8,1,"18:00",18,9.7,58,220,24,24.1,101.57,"",18
"2016-08-01 19:00:00",2016,8,1,"19:00",16.1,10.3,68,230,27,24.1,101.56,"Mainly Clear",19
"2016-08-01 20:00:00",2016,8,1,"20:00",14.9,10.4,74,230,34,24.1,101.55,"",20
"2016-08-01 21:00:00",2016,8,1,"21:00",NA,NA,NA,NA,NA,NA,NA,"",21
"2016-08-01 22:00:00",2016,8,1,"22:00",NA,NA,NA,NA,NA,NA,NA,"",22
"2016-08-01 23:00:00",2016,8,1,"23:00",NA,NA,NA,NA,NA,NA,NA,"",23
"2016-08-02 00:00:00",2016,8,2,"00:00",NA,NA,NA,NA,NA,NA,NA,"",0
"2016-08-02 01:00:00",2016,8,2,"01:00",NA,NA,NA,NA,NA,NA,NA,"",1
"2016-08-02 02:00:00",2016,8,2,"02:00",NA,NA,NA,NA,NA,NA,NA,"",2
"2016-08-02 03:00:00",2016,8,2,"03:00",NA,NA,NA,NA,NA,NA,NA,"",3
"2016-08-02 04:00:00",2016,8,2,"04:00",NA,NA,NA,NA,NA,NA,NA,"",4
"2016-08-02 05:00:00",2016,8,2,"05:00",14.1,10.6,79,230,19,24.1,101.76,"",5
"2016-08-02 06:00:00",2016,8,2,"06:00",14.7,10.6,76,260,20,24.1,101.78,"",6
"2016-08-02 07:00:00",2016,8,2,"07:00",15.6,10.6,72,250,19,24.1,101.83,"Mostly Cloudy",7
"2016-08-02 08:00:00",2016,8,2,"08:00",15.9,11.1,73,250,22,24.1,101.85,"",8
"2016-08-02 09:00:00",2016,8,2,"09:00",15.3,11.1,76,220,22,24.1,101.89,"",9
"2016-08-02 10:00:00",2016,8,2,"10:00",17,10.9,67,250,31,24.1,101.94,"Mostly Cloudy",10
"2016-08-02 11:00:00",2016,8,2,"11:00",16.8,11.2,69,250,35,24.1,101.98,"",11
"2016-08-02 12:00:00",2016,8,2,"12:00",16.6,11.4,71,250,21,24.1,102.02,"",12
"2016-08-02 13:00:00",2016,8,2,"13:00",17.8,11.2,65,250,30,24.1,102.01,"Mostly Cloudy",13
"2016-08-02 14:00:00",2016,8,2,"14:00",17.8,11.2,65,260,30,24.1,102.05,"",14
"2016-08-02 15:00:00",2016,8,2,"15:00",17.2,10.6,65,270,29,24.1,102.09,"",15
"2016-08-02 16:00:00",2016,8,2,"16:00",16.8,10.9,68,260,23,24.1,102.11,"Mostly Cloudy",16
"2016-08-02 17:00:00",2016,8,2,"17:00",16.3,11.1,71,250,30,24.1,102.11,"",17
"2016-08-02 18:00:00",2016,8,2,"18:00",16.1,11.1,72,250,23,24.1,102.15,"",18
"2016-08-02 19:00:00",2016,8,2,"19:00",16.2,11.4,73,250,22,24.1,102.16,"Mostly Cloudy",19
"2016-08-02 20:00:00",2016,8,2,"20:00",15.9,11.1,73,250,24,24.1,102.19,"",20
"2016-08-02 21:00:00",2016,8,2,"21:00",NA,NA,NA,NA,NA,NA,NA,"",21
"2016-08-02 22:00:00",2016,8,2,"22:00",NA,NA,NA,NA,NA,NA,NA,"",22
"2016-08-02 23:00:00",2016,8,2,"23:00",NA,NA,NA,NA,NA,NA,NA,"",23
"2016-08-03 00:00:00",2016,8,3,"00:00",NA,NA,NA,NA,NA,NA,NA,"",0
