vessel_name,full_date,scheduled_departure,avg_temperature,avg_dew_point_temperature,avg_relative_humidity,avg_wind_direction,avg_wind_speed,avg_visibility,avg_station_pressure,delay_indicator
Mayne Queen,2016/11/26,5:40:00,7.2,6.5,95,350,13,16.1,99.76,0
Queen of Cumberland,2016/11/26,5:50:00,7.2,6.5,95,350,13,16.1,99.76,0
Skee Queen,2016/11/26,7:00:00,6.65,6,95.5,170,16.5,14.5,99.755,0
Coastal Celebration,2016/11/26,7:00:00,6.65,6,95.5,170,16.5,14.5,99.755,0
Mayne Queen,2016/11/26,8:15:00,6.05,5.25,94.5,185,14.5,14.5,99.78,0
Queen of Cumberland,2016/11/26,9:35:00,6.1,5.15,93.5,355,9.5,17.7,99.81,0
Skee Queen,2016/11/26,9:00:00,6.1,5.15,93.5,355,9.5,17.7,99.81,0
Spirit of British Columbia,2016/11/26,9:00:00,6.1,5.15,93.5,355,9.5,17.7,99.81,0
Coastal Celebration,2016/11/26,11:00:00,6.6,5.5,92.5,360,9,16.1,99.835,0
Skee Queen,2016/11/26,11:00:00,6.6,5.5,92.5,360,9,16.1,99.835,0
Spirit of British Columbia,2016/11/26,13:00:00,6,4.65,91,185,12.5,16.1,99.765,0
Skee Queen,2016/11/26,13:00:00,6,4.65,91,185,12.5,16.1,99.765,0
Queen of Cumberland,2016/11/26,14:30:00,5.9,4.5,90.5,10,10.5,14.5,99.76,0
Coastal Celebration,2016/11/26,15:00:00,5.7,4.55,92,185,9.5,14.5,99.79,0
Skee Queen,2016/11/26,15:00:00,5.7,4.55,92,185,9.5,14.5,99.79,0
Mayne Queen,2016/11/26,16:00:00,5.65,4.65,93,360,9.5,16.1,99.82,0
Skee Queen,2016/11/26,17:00:00,5.6,4.5,92.5,350,9.5,16.1,99.855,0
Spirit of British Columbia,2016/11/26,17:00:00,5.6,4.5,92.5,350,9.5,16.1,99.855,0
Queen of Cumberland,2016/11/26,18:35:00,5.6,4.35,91.5,350,8.5,16.1,99.895,0
Mayne Queen,2016/11/26,19:10:00,5.7,4.15,89.5,360,8,16.1,99.94,0
Coastal Celebration,2016/11/26,19:00:00,5.7,4.15,89.5,360,8,16.1,99.94,0
Skee Queen,2016/11/26,19:00:00,5.7,4.15,89.5,360,8,16.1,99.94,0
Skee Queen,2016/11/26,21:00:00,5.8,3.7,86,30,7,24.1,100.03,0
Spirit of British Columbia,2016/11/26,21:00:00,5.8,3.7,86,30,7,24.1,100.03,0
Mayne Queen,2016/11/27,6:00:00,4.15,3.3,94,200,3,24.1,100.66,0
Queen of Cumberland,2016/11/27,6:25:00,4.15,3.3,94,200,3,24.1,100.66,0
Coastal Celebration,2016/11/27,7:00:00,4.65,3.7,93.5,360,2,14.45,100.69,0
Skee Queen,2016/11/27,9:00:00,5.6,5.05,96,225,5.5,7.25,100.695,0
Queen of Cumberland,2016/11/27,9:35:00,5.6,5.05,96,225,5.5,7.25,100.695,0
Spirit of British Columbia,2016/11/27,9:00:00,5.6,5.05,96,225,5.5,7.25,100.695,0
Skee Queen,2016/11/27,11:00:00,7.6,5.8,88,220,4,16.1,100.65,0
Coastal Celebration,2016/11/27,11:00:00,7.6,5.8,88,220,4,16.1,100.65,0
Spirit of Vancouver Island,2016/11/27,12:00:00,7.75,5.75,87,105,9,14.5,100.595,0
Skee Queen,2016/11/27,13:00:00,7.8,5.55,85.5,130,14,14.5,100.43,0
Spirit of British Columbia,2016/11/27,13:00:00,7.8,5.55,85.5,130,14,14.5,100.43,0
Queen of Cumberland,2016/11/27,14:40:00,7.9,5.6,85,125,15,16.1,100.225,0
Mayne Queen,2016/11/27,14:15:00,7.9,5.6,85,125,15,16.1,100.225,0
Skee Queen,2016/11/27,15:00:00,7.9,5.4,84,105,11.5,20.1,100.02,0
Coastal Celebration,2016/11/27,15:00:00,7.9,5.4,84,105,11.5,20.1,100.02,0
Spirit of Vancouver Island,2016/11/27,16:00:00,7.85,5.25,83.5,225,5.5,20.1,99.81,0
Mayne Queen,2016/11/27,17:25:00,8,5.5,84,290,5.5,17.7,99.71,0
Spirit of British Columbia,2016/11/27,17:00:00,8,5.5,84,290,5.5,17.7,99.71,1
Skee Queen,2016/11/27,17:00:00,8,5.5,84,290,5.5,17.7,99.71,0
Queen of Cumberland,2016/11/27,18:25:00,7.75,5.6,86,205,8.5,21.7,99.685,0
Mayne Queen,2016/11/27,19:10:00,7.55,5.5,86.5,225,16,24.1,99.66,0
Skee Queen,2016/11/27,19:00:00,7.55,5.5,86.5,225,16,24.1,99.66,0
Coastal Celebration,2016/11/27,19:00:00,7.55,5.5,86.5,225,16,24.1,99.66,0
Spirit of British Columbia,2016/11/27,21:00:00,8.2,4.1,75,270,19,24.1,99.76,1
Skee Queen,2016/11/27,21:00:00,8.2,4.1,75,270,19,24.1,99.76,0
Mayne Queen,2016/11/28,5:10:00,8.6,4.3,74,260,25,24.1,100.72,0
Queen of Cumberland,2016/11/28,5:20:00,8.6,4.3,74,260,25,24.1,100.72,0
Skee Queen,2016/11/28,7:00:00,6.15,2.85,79.5,165,6,24.1,100.9,0
Coastal Celebration,2016/11/28,7:00:00,6.15,2.85,79.5,165,6,24.1,100.9,0
Queen of Cumberland,2016/11/28,8:30:00,4.55,2.35,85.5,150,4.5,24.1,101,0
Skee Queen,2016/11/28,9:00:00,5.1,2.55,83.5,325,4,24.1,101.095,0
Spirit of British Columbia,2016/11/28,9:00:00,5.1,2.55,83.5,325,4,24.1,101.095,0
Mayne Queen,2016/11/28,9:10:00,5.1,2.55,83.5,325,4,24.1,101.095,0
Queen of Cumberland,2016/11/28,10:25:00,6.75,3.1,77.5,360,6,24.1,101.18,0
Skee Queen,2016/11/28,11:00:00,8.25,3.55,72,215,7,24.1,101.24,0
Coastal Celebration,2016/11/28,11:00:00,8.25,3.55,72,215,7,24.1,101.24,0
Skee Queen,2016/11/28,13:00:00,9.5,3.9,68,55,6.5,24.1,101.31,0
Spirit of British Columbia,2016/11/28,13:00:00,9.5,3.9,68,55,6.5,24.1,101.31,0
Mayne Queen,2016/11/28,14:50:00,9.45,3.65,67,200,8,24.1,101.365,0
Queen of Cumberland,2016/11/28,14:15:00,9.45,3.65,67,200,8,24.1,101.365,0
Coastal Celebration,2016/11/28,15:00:00,9.25,3.65,68,360,8,24.1,101.455,0
Skee Queen,2016/11/28,15:00:00,9.25,3.65,68,360,8,24.1,101.455,0
Queen of Cumberland,2016/11/28,16:15:00,8.65,4.25,74,360,7.5,24.1,101.55,0
Skee Queen,2016/11/28,17:00:00,7.75,4.95,82.5,185,6,24.1,101.625,0
Spirit of British Columbia,2016/11/28,17:00:00,7.75,4.95,82.5,185,6,24.1,101.625,0
Queen of Cumberland,2016/11/28,18:30:00,7.05,5.1,87.5,180,6.5,24.1,101.695,0
Coastal Celebration,2016/11/28,19:00:00,6.3,4.8,90,350,8.5,24.1,101.77,0
Mayne Queen,2016/11/28,19:40:00,6.3,4.8,90,350,8.5,24.1,101.77,0
Skee Queen,2016/11/28,19:00:00,6.3,4.8,90,350,8.5,24.1,101.77,0
Spirit of British Columbia,2016/11/28,21:00:00,6.4,4.7,89,20,8,24.1,101.87,0
Skee Queen,2016/11/28,21:00:00,6.4,4.7,89,20,8,24.1,101.87,0
Mayne Queen,2016/11/29,5:10:00,6.2,5.2,93,10,6,9.7,102.13,0
Queen of Cumberland,2016/11/29,5:20:00,6.2,5.2,93,10,6,9.7,102.13,0
Coastal Celebration,2016/11/29,7:00:00,6.8,6,94.5,325,9.5,12.1,102.1,0
Skee Queen,2016/11/29,7:00:00,6.8,6,94.5,325,9.5,12.1,102.1,0
Queen of Cumberland,2016/11/29,8:30:00,6.9,6.2,95,185,8,20.1,102.11,0
Skee Queen,2016/11/29,9:00:00,7.4,6.6,94.5,185,4.5,24.1,102.135,0
Spirit of British Columbia,2016/11/29,9:00:00,7.4,6.6,94.5,185,4.5,24.1,102.135,0
Mayne Queen,2016/11/29,9:10:00,7.4,6.6,94.5,185,4.5,24.1,102.135,0
Queen of Cumberland,2016/11/29,10:25:00,8.35,6.55,88.5,245,9,24.1,102.135,0
Skee Queen,2016/11/29,11:00:00,8.9,6.2,83,125,18,24.1,102.07,0
Coastal Celebration,2016/11/29,11:00:00,8.9,6.2,83,125,18,24.1,102.07,0
Skee Queen,2016/11/29,13:00:00,8.8,6.25,84,85,15,24.1,101.89,0
Spirit of British Columbia,2016/11/29,13:00:00,8.8,6.25,84,85,15,24.1,101.89,0
Queen of Cumberland,2016/11/29,14:15:00,8.7,5.8,82,85,13.5,24.1,101.79,0
Mayne Queen,2016/11/29,14:50:00,8.7,5.8,82,85,13.5,24.1,101.79,0
Skee Queen,2016/11/29,15:00:00,8.7,5.7,81.5,95,12.5,24.1,101.665,0
Coastal Celebration,2016/11/29,15:00:00,8.7,5.7,81.5,95,12.5,24.1,101.665,0
Queen of Cumberland,2016/11/29,16:15:00,8.85,6.05,82.5,115,13.5,24.1,101.54,0
Skee Queen,2016/11/29,17:00:00,9,6.2,82.5,125,14,24.1,101.415,0
